seed,lines,inputs,holds,score,combo,topcombo,btb,topbtb,tspins,piecesplaced,finalTime,,clears.singles,clears.doubles,clears.triples,clears.quads,clears.realtspins,clears.minitspins,clears.minitspinsingles,clears.tspinsingles,clears.tspindoubles,clears.tspintriples,clears.allclear,finesse.combo,finesse.faults,finesse.perfectpieces,replayid,copy,Stacking,,,,
1506296244,40,408,23,12096,2,2,0,5,0,108,62650,,11,1,1,6,0,0,0,0,0,0,0,0,74,67,64258f17fb49ed069e697a91,r:64258f17fb49ed069e697a91,9-0,,,,
499413325,40,358,23,10802,1,6,0,1,0,102,79260,,8,6,4,2,0,0,0,0,0,0,0,8,41,80,640c4cbaaa4882e7599cfa0b,r:640c4cbaaa4882e7599cfa0b,2 wide,,,,
932007926,40,353,3,9142,2,3,0,0,0,102,59181.66667,,18,8,2,0,0,0,0,0,0,0,0,1,56,70,63e8f77ff0cc508ed05d9475,r:63e8f77ff0cc508ed05d9475,Freestyle,,,,
130281803,41,643,9,9111,1,3,0,0,0,107,104233.3333,,26,6,1,0,0,0,0,0,0,0,0,0,292,24,644a7a3844b3865c688c9fff,r:644a7a3844b3865c688c9fff,Freestyle,,,,
758192548,40,441,27,12574,1,11,0,1,2,104,103871.6667,,20,9,0,0,0,0,2,0,0,0,0,0,101,58,63115f26cc59143b0f706c37,r:63115f26cc59143b0f706c37,3 wide,,,,
130081546,40,440,9,11152,2,2,0,3,0,101,90866.66667,,6,4,2,5,0,0,0,0,0,0,0,3,129,50,64271a67bcae8a06980bda86,r:64271a67bcae8a06980bda86,9-0,,,,
1686435736,40,423,15,11896,3,3,0,2,0,106,86143.33333,,2,2,2,7,0,0,0,0,0,0,0,3,105,56,63b12b550ee6860973632a7e,r:63b12b550ee6860973632a7e,0-9,,,,
1433523878,40,417,28,15573,1,3,0,6,2,106,65085,,4,0,1,7,0,0,0,0,1,1,0,0,64,69,63367b3be7bc74601ea3b8b7,r:63367b3be7bc74601ea3b8b7,0-9,,,,
1700591842,40,413,34,12846,1,3,0,3,3,101,76955,,11,3,3,2,0,0,1,0,1,1,0,1,73,69,63bed36fb1efb7cfd1cd9d75,r:63bed36fb1efb7cfd1cd9d75,Freestyle,,,,
581871901,40,443,29,12928,1,2,0,5,0,102,79020,,3,1,1,8,0,0,0,0,0,0,0,2,90,54,6450651241655062abd5e819,r:6450651241655062abd5e819,9-0,,,,
2096882508,40,392,13,12288,1,2,0,4,0,104,70353.33333,,3,1,1,8,0,0,0,0,0,0,0,0,66,72,63ad1cdfc4ac1d09851ae604,r:63ad1cdfc4ac1d09851ae604,9-0,,,,
366416931.9,40,393,,10338,1,5,0,1,0,108,80810,,9,9,3,1,0,0,0,0,0,0,0,0,70,73,5ef16022da478e1135e59636,r:5ef16022da478e1135e59636,2 wide,,,,
1827127404,40,488,17,10076,1,5,0,1,0,103,68720,,13,6,1,3,0,0,0,0,0,0,0,0,132,49,6436bdd189bb2d32e467a1a5,r:6436bdd189bb2d32e467a1a5,Freestyle,,,,
1098344032,40,449,40,10702,1,4,0,2,0,103,65585,,10,4,2,4,0,0,0,0,0,0,0,0,101,54,64271ea704d95706bc7256ee,r:64271ea704d95706bc7256ee,0-9,,,,
2044835771,40,376,28,13156,1,2,0,7,0,101,58403.33333,,1,4,1,7,0,0,0,0,0,0,0,3,53,69,645739a4f5ee1cc262069789,r:645739a4f5ee1cc262069789,9-0,,,,
954104654,40,479,19,10925,1,3,1,3,1,109,114395,,13,4,1,4,0,1,0,0,0,0,0,1,132,62,6420146a72059e7a4e3a39e7,r:6420146a72059e7a4e3a39e7,Freestyle,,,,
497608079,40,607,30,12573,1,3,0,1,4,113,127851.6667,,20,5,0,1,1,0,0,0,3,0,0,0,158,48,63a51a49c530933d3f323023,r:63a51a49c530933d3f323023,Freestyle,,,,
1020617052,40,326,4,12843,4,4,0,5,0,102,66201.66667,,7,1,1,7,0,0,0,0,0,0,0,8,30,77,645751ad508a1eb061e7fb80,r:645751ad508a1eb061e7fb80,9-0,,,,
1046838427,40,389,,9495,1,4,0,1,0,104,58776.66667,,15,9,1,1,0,0,0,0,0,0,0,2,76,65,60d1f7866962af2d1a70bc35,r:60d1f7866962af2d1a70bc35,Freestyle,,,,
33162320,41,441,43,11076,6,6,0,1,0,113,86818.33333,,9,8,4,1,0,0,0,0,0,0,0,0,76,70,642ec92085f1735820b0075f,r:642ec92085f1735820b0075f,2 Wide,,,,
1618343057,40,426,26,8612,1,2,0,0,0,102,77126.66667,,31,3,1,0,0,0,0,0,0,0,0,0,84,54,62582f14e2af172f184dc9fa,r:62582f14e2af172f184dc9fa,Freestyle,,,,
915785761,40,417,14,11490,1,3,1,3,0,106,112338.3333,,8,1,2,6,0,0,0,0,0,0,0,0,92,60,63c66ff09343cecfda0b0ec2,r:63c66ff09343cecfda0b0ec2,Mix,9-0,Freestyle,,
478857826,40,431,23,12632,4,4,0,6,0,101,89931.66667,,5,4,1,6,0,0,0,0,0,0,0,1,103,56,6433a26f83fd1f580a5c967c,r:6433a26f83fd1f580a5c967c,0-9,,,,
877567000,40,315,11,13156,1,2,3,5,0,104,64258.33333,,4,0,0,9,0,0,0,0,0,0,0,3,12,95,625aecaf708dd682948b9631,r:625aecaf708dd682948b9631,9-0,,,,
159265121,40,352,25,10962,1,8,0,1,0,102,48868.33333,,13,8,1,2,0,0,0,0,0,0,0,0,49,74,64133c74cdbd97a46dae8957,r:64133c74cdbd97a46dae8957,2 Wide,,,,
399081715,41,456,,10904,4,5,0,1,0,111,95925,,7,5,4,3,0,0,0,0,0,0,0,3,110,55,60c4352b6c8e722d136ff830,r:60c4352b6c8e722d136ff830,2 Wide,,,,
1253388278,40,388,2,12896,2,2,0,1,0,102,60561.66667,,19,2,3,2,0,0,0,0,0,0,1,4,100,52,6446ab32c320444993e6a6de,r:6446ab32c320444993e6a6de,Freestyle,,,,
1181949469,40,477,28,13926,1,2,0,9,0,103,97168.33333,,0,2,0,9,0,0,0,0,0,0,0,1,129,41,6443c20235154fed9e71d46c,r:6443c20235154fed9e71d46c,9-0,,,,
482172028,41,512,13,11730,1,3,0,2,0,106,95903.33333,,3,4,2,6,0,0,0,0,0,0,0,1,162,41,63da7c292c32d06d26bc89ba,r:63da7c292c32d06d26bc89ba,0-9,,,,
1584451684,40,399,17,8442,1,3,0,0,0,101,51650,,34,3,0,0,0,0,0,0,0,0,0,0,73,60,621838a1e571a3c09b6e83a6,r:621838a1e571a3c09b6e83a6,Freestyle,,,,
1140632150,40,522,23,10106,2,6,0,0,0,124,116280,,8,13,2,0,0,0,0,0,0,0,0,2,130,69,63da7a6fe534b56d1ec848ce,r:63da7a6fe534b56d1ec848ce,2 Wide,,,,
1128545495,40,354,9,13916,1,2,7,7,0,103,66601.66667,,1,0,1,9,0,0,0,0,0,0,0,1,61,67,64345edd19b9aa580efcd29f,r:64345edd19b9aa580efcd29f,9-0,,,,
1794811893,43,452,19,13667,1,7,2,4,0,122,77768.33333,,6,2,3,6,0,0,0,0,0,0,0,4,75,79,642acf601a881857fdd89b6e,r:642acf601a881857fdd89b6e,Mix,2 wide,36770,,
